timestep,hour_of_day,day,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_max,v_mean,line_loading_max,v_severity,n_buses_below_090,renewable_pct,converged,blackout,severity,p_load_lag_1h,p_load_lag_3h,p_solar_lag_1h,soc_lag_1h,load_rolling_avg_6h,solar_rolling_avg_6h,v_min_rolling_min_6h,soc_rate_of_change,load_rate_of_change,load_solar_diff,grid_stress_index,solar_load_ratio,soc_deficit,v_violation_margin,net_power_balance,is_night,blackout_prob_ml,blackout_pred_ml,in_test_window,prediction_correct
40,16,1,3.442886,0.020149,0.0,3.422737,0.1,0.921544,1.0,0.952973,0.0002,0.0,0,0.59,1,0,0,3.433426,3.432531,0.216063,0.1,3.459941166666667,0.6796873333333333,0.921544,0.0,0.009460000000000246,3.422737,0.9388927081650964,0.005852355886208289,0.9,0.0015439999999999898,-3.422737,0,0.779143,1,0,0
41,17,1,3.489476,0.0,0.0,3.489476,0.1,0.918789,1.0,0.951821,0.0002,0.001211,2,0.0,1,1,1,3.442886,3.432463,0.020149,0.1,3.4624595,0.45116166666666674,0.918789,0.0,0.04658999999999969,3.489476,0.9464312247644684,0.0,0.9,-0.0012110000000000731,-3.489476,0,0.941405,1,0,1
42,18,1,3.597224,0.0,0.0,3.597224,0.1,0.916074,1.0,0.950218,0.0002,0.003926,6,0.0,1,1,3,3.489476,3.433426,0.0,0.1,3.4713343333333335,0.25693166666666667,0.916074,0.0,0.1077480000000004,3.597224,0.9560990578734859,0.0,0.9,-0.003925999999999985,-3.597224,0,0.954115,1,0,1
43,19,1,3.502377,0.0,0.0,3.502377,0.1,0.918465,1.0,0.951629,0.0002,0.001535,2,0.0,1,1,3,3.597224,3.442886,0.0,0.1,3.4829753333333335,0.11206516666666666,0.916074,0.0,-0.09484700000000013,3.502377,0.9475887842081652,0.0,0.9,-0.001535000000000064,-3.502377,0,0.969385,1,0,1
44,20,1,3.390216,0.0,0.0,3.390216,0.1,0.921277,1.0,0.953291,0.0002,0.0,0,0.0,1,0,0,3.502377,3.489476,0.0,0.1,3.4759341666666668,0.03936866666666667,0.916074,0.0,-0.11216099999999996,3.390216,0.9375249887842082,0.0,0.9,0.0012769999999999726,-3.390216,0,0.846333,1,0,0
45,21,1,3.283195,0.0,0.0,3.283195,0.1,0.923946,1.0,0.954868,0.0002,0.0,0,0.0,1,0,0,3.390216,3.597224,0.0,0.1,3.4508956666666672,0.003358166666666667,0.916074,0.0,-0.10702100000000003,3.283195,0.9279223867205024,0.0,0.9,0.003946000000000005,-3.283195,1,0.582379,1,0,0
46,22,1,2.964161,0.0,0.0,2.964161,0.1,0.931821,1.0,0.959524,0.0002,0.0,0,0.0,1,0,0,3.283195,3.502377,0.0,0.1,3.3711081666666662,0.0,0.916074,0.0,-0.31903400000000026,2.964161,0.8992966352624495,0.0,0.9,0.01182099999999997,-2.964161,1,0.059313,0,0,1
47,23,1,2.392239,0.0,0.0,2.392239,0.1,0.94565,1.0,0.96771,0.0001,0.0,0,0.0,1,0,0,2.964161,3.390216,0.0,0.1,3.188235333333333,0.0,0.916074,0.0,-0.5719219999999998,2.392239,0.8479801704800359,0.0,0.9,0.02564999999999995,-2.392239,1,0.001459,0,0,1
48,0,2,1.956992,0.0,0.0,1.956992,0.1,0.95594,1.0,0.97381,0.0001,0.0,0,0.0,1,0,0,2.392239,3.283195,0.0,0.1,2.914863333333333,0.0,0.918465,0.0,-0.43524699999999994,1.956992,0.8089270524899058,0.0,0.9,0.03593999999999997,-1.956992,1,3e-06,0,0,1
49,1,2,1.680713,0.0,0.0,1.680713,0.1,0.962372,1.0,0.977626,0.0001,0.0,0,0.0,1,0,0,1.956992,2.964161,0.0,0.1,2.6112526666666667,0.0,0.921277,0.0,-0.27627900000000016,1.680713,0.7841375504710633,0.0,0.9,0.042371999999999965,-1.680713,1,1e-05,0,0,1
